2,13,0
3,22,0
4,23,0
7,21,0
10,13,0
11,26,0
12,225,0
16,26,0
17,21,0
18,22,0
19,13,0
20,77,0
21,275,0
23,23,0
24,228,0
26,361,0
28,13,0
32,252,0
35,29,0
37,527,0
38,361,0
39,77,0
40,13,0
42,225,0
43,27,0
50,515,0
52,671,0
54,464,0
73,414,0
86,427,0
88,515,0
89,414,0
96,433,0
97,873,0
98,671,0
103,868,0
106,27,0
108,441,0
119,719,0
126,950,0
130,470,0
141,972,0
144,768,0
148,996,0
149,477,0
166,912,0
185,1043,0
190,817,0
191,433,0
195,1154,0
196,1077,0
206,912,0
210,1199,0
215,309,0
216,1053,0
244,1043,0
246,641,0
253,375,0
258,477,0
264,1392,0
280,470,0
296,817,0
307,515,0
312,768,0
316,719,0
324,527,0
327,929,0
341,641,1
361,996,0
369,817,0
373,414,0
377,641,1
400,719,0
419,309,0
420,817,0
431,1497,0
440,1889,0
443,1630,0
468,1400,0
477,1617,0
487,719,0
493,1199,0
510,1043,0
538,1858,0
585,2155,0
605,2350,0
606,2248,0
612,470,0
631,1392,0
647,507,0
650,2751,0
682,1497,0
727,1941,0
780,3008,0
789,2243,0
854,1617,1
859,2043,0
872,1858,1
874,3115,0
898,2195,0
940,2939,0
1001,2891,0
1009,972,0
1038,972,0
1048,996,0
1063,1617,1
1070,881,0
1082,4118,0
1111,470,0
1123,464,0
1124,2350,0
1125,972,0
1159,515,0
1163,1854,0
1236,4064,1
1271,2243,0
1295,2350,0
1303,972,0
1340,3797,0
1341,5749,1
1491,3991,0
1517,3157,0
1545,5749,1
1606,1497,0
1620,2350,1
1624,5829,0
1630,470,0
1666,507,0
1704,4820,0
1710,2939,0
1827,3797,0
1832,2675,0
1845,3051,0
1858,5730,0
1867,597,0
1870,5101,0
1871,7516,0
1878,4116,0
1881,4997,0
1910,515,0
1919,5170,0
1930,5104,0
1935,1392,0
1937,996,0
1950,4820,0
1968,8425,0
1981,1101,0
2000,5829,0
2040,4922,0
2060,4647,0
2078,4922,0
2128,9593,0
2148,1199,0
2150,2939,0
2161,7592,0
2173,972,0
2184,375,0
2204,8659,0
2218,441,0
2226,4137,0
2270,8258,0
2280,2555,0
2284,10130,0
2296,8167,0
2337,6828,0
2340,4086,0
2352,10373,0
2384,9376,0
2397,3805,0
2410,10822,0
2428,2248,0
2437,11052,0
2472,986,0
2519,11327,0
2522,13,0
2526,11406,0
2539,11433,0
2540,2248,0
2559,10847,0
2566,2555,0
2571,768,0
2580,11561,0
2594,7516,0
2603,10083,0
2604,10822,0
2610,527,0
2616,11249,0
2622,2939,0
2667,768,0
2676,9773,0
2684,5555,0
2690,11284,0
2704,8913,0
2708,515,0
2716,11249,1
2719,361,0
2722,27,0
2732,7992,0
2734,10822,0
2738,9379,0
2754,1941,0
2761,986,0
2763,4287,0
2808,7573,0
2812,2248,0
2816,12068,0
2834,10822,0
2836,12226,0
2857,11124,0
2883,12496,0
2907,1196,0
2912,11072,0
2923,2939,0
2962,2243,0
2966,972,0
2971,11844,0
2975,9869,0
2977,972,0
2988,7516,0
3000,11327,0
3002,972,0
3003,996,0
3007,972,0
3023,972,0
3048,11809,0
3056,996,0
3085,13338,0
3100,3051,0
3108,972,0
3115,972,0
3116,13214,0
3120,8777,0
3138,13567,0
3140,972,0
3147,972,0
3149,972,0
3155,996,0
3172,9903,0
3182,9376,0
3183,597,0
3184,12239,0
3188,11124,0
3198,13317,0
3200,12827,0
3216,10313,0
3220,6828,0
3232,12303,0
3237,2243,0
3238,13338,0
3240,225,0
3262,13945,0
3269,13338,0
3283,2939,0
3284,2155,0
3326,2248,0
3347,464,0
3376,4440,0
3385,10313,0
3405,2939,0
3418,597,0
3431,13662,0
3434,1400,0
3435,1497,0
3453,4440,0
3473,13099,0
3475,361,0
3477,13246,0
3478,22,0
3480,13945,0
3536,14040,0
3541,7516,0
3564,11003,1
3574,14077,0
3593,14942,0
3602,14728,0
3629,1630,0
3652,12788,0
3653,15293,0
3681,15314,0
3707,8016,0
3709,7516,0
3723,12057,0
3732,15293,0
3762,9659,0
3768,15956,0
3770,15766,0
3774,507,0
3776,13225,0
3780,15293,0
3809,2977,0
3812,15860,0
3819,29,0
3821,2939,0
3822,14077,1
3826,14901,0
3836,4137,0
3864,14505,0
3882,15860,0
3892,929,0
3903,14077,1
3910,13338,0
3951,13662,0
3997,7573,0
4003,15895,0
4012,2939,0
4026,15679,1
4033,14505,0
4037,12733,0
4039,2939,0
4046,13338,0
4048,14728,0
4051,15774,0
4058,16718,0
4069,15766,0
4077,252,0
4079,13317,0
4083,2948,0
4084,14140,0
4087,1941,0
4090,1497,0
4109,996,0
4113,15293,0
4115,17511,0
4125,477,0
4126,17787,0
4127,15956,0
4130,3795,0
4134,17961,0
4141,14942,0
4142,15293,0
4143,13338,0
4145,15293,0
4146,13338,0
4147,14574,0
4153,13338,0
4154,15293,0
4168,597,0
4169,15293,0
4173,5225,1
4177,1093,0
4178,10313,0
4189,17780,0
4194,26,0
4196,17189,0
4197,18543,0
4203,17706,0
4206,11124,0
4207,7468,0
4212,15293,0
4214,8755,0
4215,2939,0
4217,972,0
4221,464,0
4222,9051,0
4227,5104,0
4229,2939,0
4234,2243,0
4235,361,0
4243,4922,0
4244,17938,0
4245,8755,0
4251,15293,0
4252,3051,0
4253,11809,0
4256,18967,0
4263,18849,0
4264,19059,0
4267,4997,0
4274,17213,0
4275,507,0
4280,19401,0
4288,6456,0
4290,18585,0
4297,19275,0
4299,13263,0
4300,17189,0
4301,14728,0
4303,2939,0
4308,19638,0
4316,18849,0
4317,15812,0
4322,8528,0
4326,972,0
4335,3795,0
4338,19655,0
4342,13,0
4348,11485,0
4350,4118,1
4356,18852,0
4360,1497,0
4365,7838,0
4367,18849,0
4372,986,0
4373,5730,0
4380,19456,0
4385,17929,1
4390,20363,0
4392,8425,1
4393,20237,0
4401,13945,0
4407,18484,0
4411,3157,0
4414,20513,0
4415,1093,0
4441,15293,0
4442,11327,0
4443,20853,0
4444,18967,0
4451,10130,0
4452,11433,0
4453,20486,0
4457,20237,0
4459,19655,0
4469,2939,0
4473,3795,0
4484,20823,0
4492,12693,0
4508,18920,0
4517,10130,0
4528,19320,0
4533,2939,0
4550,10130,0
4553,9003,0
4556,20477,0
4558,21247,0
4584,20814,1
4607,18715,0
4629,17780,0
4662,21633,1
4663,7836,0
4712,20405,0
4713,15766,0
4715,11433,0
4723,7592,1
